,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
Hornet 4 Drive_gen285,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Merc 450SE_gen286,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Merc 450SE_gen287,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Merc 280_gen288,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Volvo 142E_gen289,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Merc 450SE_gen290,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Lincoln Continental_gen291,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Merc 230_gen292,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
AMC Javelin_gen293,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Pontiac Firebird_gen294,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Honda Civic_gen295,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Merc 280C_gen296,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Toyota Corolla_gen297,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Hornet 4 Drive_gen298,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Hornet Sportabout_gen299,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Merc 280C_gen300,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Duster 360_gen301,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Ford Pantera L_gen302,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Porsche 914-2_gen303,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Toyota Corolla_gen304,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Ford Pantera L_gen305,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Fiat X1-9_gen306,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Fiat 128_gen307,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Cadillac Fleetwood_gen308,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Dodge Challenger_gen309,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Hornet 4 Drive_gen310,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Maserati Bora_gen311,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Duster 360_gen312,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Merc 240D_gen313,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Merc 450SE_gen314,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Volvo 142E_gen315,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Merc 450SL_gen316,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Merc 240D_gen317,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Merc 450SLC_gen318,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Porsche 914-2_gen319,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Merc 240D_gen320,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Cadillac Fleetwood_gen321,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Merc 450SL_gen322,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Merc 240D_gen323,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Ferrari Dino_gen324,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Mazda RX4 Wag_gen325,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Cadillac Fleetwood_gen326,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Merc 280C_gen327,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Valiant_gen328,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Porsche 914-2_gen329,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Merc 450SLC_gen330,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Mazda RX4 Wag_gen331,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Fiat X1-9_gen332,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Porsche 914-2_gen333,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Valiant_gen334,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Merc 450SLC_gen335,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Volvo 142E_gen336,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Lotus Europa_gen337,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Toyota Corona_gen338,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Porsche 914-2_gen339,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Valiant_gen340,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Volvo 142E_gen341,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Toyota Corolla_gen342,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Toyota Corolla_gen343,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Hornet Sportabout_gen344,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Merc 280_gen345,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Mazda RX4_gen346,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Merc 450SLC_gen347,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Hornet Sportabout_gen348,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Merc 230_gen349,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Merc 230_gen350,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Chrysler Imperial_gen351,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Pontiac Firebird_gen352,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Ferrari Dino_gen353,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Fiat X1-9_gen354,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Pontiac Firebird_gen355,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Fiat X1-9_gen356,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Honda Civic_gen357,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
AMC Javelin_gen358,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Volvo 142E_gen359,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Ferrari Dino_gen360,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Merc 450SLC_gen361,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Toyota Corona_gen362,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Honda Civic_gen363,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
AMC Javelin_gen364,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Camaro Z28_gen365,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Mazda RX4 Wag_gen366,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Merc 280C_gen367,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Merc 280C_gen368,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Camaro Z28_gen369,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Merc 240D_gen370,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Dodge Challenger_gen371,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Mazda RX4 Wag_gen372,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Toyota Corolla_gen373,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Merc 450SE_gen374,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Hornet 4 Drive_gen375,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Toyota Corolla_gen376,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Dodge Challenger_gen377,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Camaro Z28_gen378,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Fiat X1-9_gen379,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Fiat X1-9_gen380,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Lincoln Continental_gen381,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Camaro Z28_gen382,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Merc 450SLC_gen383,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
AMC Javelin_gen384,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Dodge Challenger_gen385,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Lincoln Continental_gen386,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Honda Civic_gen387,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Toyota Corona_gen388,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Fiat 128_gen389,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Merc 280C_gen390,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Lotus Europa_gen391,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Duster 360_gen392,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Lincoln Continental_gen393,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Chrysler Imperial_gen394,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Merc 280_gen395,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Volvo 142E_gen396,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Lotus Europa_gen397,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Pontiac Firebird_gen398,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
AMC Javelin_gen399,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Valiant_gen400,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Merc 280C_gen401,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Mazda RX4 Wag_gen402,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Merc 450SL_gen403,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Datsun 710_gen404,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Merc 230_gen405,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Dodge Challenger_gen406,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Merc 450SE_gen407,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Merc 280C_gen408,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Lotus Europa_gen409,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Maserati Bora_gen410,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Honda Civic_gen411,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Merc 280C_gen412,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Merc 450SE_gen413,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Maserati Bora_gen414,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Chrysler Imperial_gen415,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Merc 450SL_gen416,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Toyota Corolla_gen417,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Toyota Corona_gen418,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
AMC Javelin_gen419,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Merc 230_gen420,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Volvo 142E_gen421,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Mazda RX4 Wag_gen422,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Fiat X1-9_gen423,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Fiat X1-9_gen424,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Fiat X1-9_gen425,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Valiant_gen426,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Ford Pantera L_gen427,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Camaro Z28_gen428,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Dodge Challenger_gen429,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Porsche 914-2_gen430,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Fiat X1-9_gen431,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Ford Pantera L_gen432,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Hornet Sportabout_gen433,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
AMC Javelin_gen434,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Pontiac Firebird_gen435,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Pontiac Firebird_gen436,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Toyota Corolla_gen437,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Dodge Challenger_gen438,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Merc 450SE_gen439,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Hornet Sportabout_gen440,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Merc 280_gen441,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Merc 280C_gen442,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Pontiac Firebird_gen443,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Mazda RX4 Wag_gen444,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Camaro Z28_gen445,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Dodge Challenger_gen446,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Duster 360_gen447,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Pontiac Firebird_gen448,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
AMC Javelin_gen449,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Merc 280C_gen450,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Mazda RX4 Wag_gen451,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Valiant_gen452,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Datsun 710_gen453,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Porsche 914-2_gen454,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Hornet 4 Drive_gen455,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Merc 280_gen456,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Volvo 142E_gen457,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Merc 280_gen458,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Merc 240D_gen459,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Ferrari Dino_gen460,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Cadillac Fleetwood_gen461,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Merc 450SL_gen462,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Porsche 914-2_gen463,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Merc 450SE_gen464,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Datsun 710_gen465,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Camaro Z28_gen466,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Lotus Europa_gen467,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Merc 280C_gen468,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Merc 240D_gen469,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
AMC Javelin_gen470,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Porsche 914-2_gen471,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Hornet 4 Drive_gen472,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Porsche 914-2_gen473,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Fiat X1-9_gen474,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Mazda RX4_gen475,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Merc 280C_gen476,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Dodge Challenger_gen477,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Ford Pantera L_gen478,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Merc 450SLC_gen479,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Lincoln Continental_gen480,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Hornet 4 Drive_gen481,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Ferrari Dino_gen482,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Fiat 128_gen483,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Mazda RX4 Wag_gen484,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Cadillac Fleetwood_gen485,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Toyota Corona_gen486,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Maserati Bora_gen487,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Chrysler Imperial_gen488,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Lotus Europa_gen489,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Ford Pantera L_gen490,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Mazda RX4_gen491,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Datsun 710_gen492,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Hornet 4 Drive_gen493,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Ford Pantera L_gen494,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Merc 230_gen495,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Lincoln Continental_gen496,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Merc 240D_gen497,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Volvo 142E_gen498,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Camaro Z28_gen499,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Ferrari Dino_gen500,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Maserati Bora_gen501,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Camaro Z28_gen502,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Merc 280C_gen503,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Maserati Bora_gen504,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Mazda RX4_gen505,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Maserati Bora_gen506,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Ford Pantera L_gen507,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Duster 360_gen508,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Merc 450SL_gen509,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Cadillac Fleetwood_gen510,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Merc 450SL_gen511,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Camaro Z28_gen512,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Valiant_gen513,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Mazda RX4_gen514,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Lotus Europa_gen515,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Fiat 128_gen516,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Honda Civic_gen517,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Datsun 710_gen518,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Cadillac Fleetwood_gen519,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Merc 230_gen520,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Merc 450SL_gen521,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Hornet 4 Drive_gen522,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Fiat X1-9_gen523,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Porsche 914-2_gen524,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Fiat X1-9_gen525,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Lincoln Continental_gen526,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Merc 450SE_gen527,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Ferrari Dino_gen528,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Merc 450SLC_gen529,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Datsun 710_gen530,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Lincoln Continental_gen531,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
AMC Javelin_gen532,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Honda Civic_gen533,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Volvo 142E_gen534,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Ferrari Dino_gen535,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Merc 280_gen536,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Lincoln Continental_gen537,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Fiat X1-9_gen538,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Ford Pantera L_gen539,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Honda Civic_gen540,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Chrysler Imperial_gen541,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Maserati Bora_gen542,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Merc 240D_gen543,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Mazda RX4 Wag_gen544,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
AMC Javelin_gen545,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Lotus Europa_gen546,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Lotus Europa_gen547,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Merc 450SLC_gen548,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
AMC Javelin_gen549,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Ford Pantera L_gen550,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Toyota Corolla_gen551,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Ford Pantera L_gen552,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Merc 450SL_gen553,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Valiant_gen554,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Honda Civic_gen555,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Cadillac Fleetwood_gen556,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Duster 360_gen557,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Camaro Z28_gen558,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Hornet Sportabout_gen559,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Maserati Bora_gen560,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
AMC Javelin_gen561,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Duster 360_gen562,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Pontiac Firebird_gen563,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Merc 450SE_gen564,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Datsun 710_gen565,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Fiat X1-9_gen566,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Hornet Sportabout_gen567,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Merc 450SE_gen568,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Fiat X1-9_gen569,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Chrysler Imperial_gen570,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Fiat X1-9_gen571,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Lincoln Continental_gen572,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Merc 240D_gen573,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Porsche 914-2_gen574,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Mazda RX4_gen575,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Ford Pantera L_gen576,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Duster 360_gen577,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Merc 450SLC_gen578,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Merc 280_gen579,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Toyota Corona_gen580,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Merc 280C_gen581,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Merc 450SL_gen582,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Duster 360_gen583,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Maserati Bora_gen584,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Dodge Challenger_gen585,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Dodge Challenger_gen586,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Fiat 128_gen587,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Merc 230_gen588,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Mazda RX4_gen589,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Honda Civic_gen590,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Merc 450SLC_gen591,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Mazda RX4_gen592,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Datsun 710_gen593,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Dodge Challenger_gen594,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Fiat 128_gen595,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Cadillac Fleetwood_gen596,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Hornet 4 Drive_gen597,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Cadillac Fleetwood_gen598,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
